 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
318,0.011,825.569,97.490,539,1360,9.093,86404840.000
319,0.011,11886.535,839.530,2872,14673,130.928,1244056687.000
320,0.011,624.252,70.583,373,854,6.876,65334838.000
321,0.011,817.060,115.016,517,1354,9.000,85514353.000
322,0.011,1067.979,162.405,629,1896,11.764,111775801.000
323,0.011,595.699,82.063,365,864,6.562,62346475.000
324,0.011,584.009,72.417,340,888,6.433,61122984.000
325,0.011,724.003,73.412,458,1133,7.975,75774919.000
326,0.011,12768.099,678.185,10521,15486,140.638,1336322038.000
327,0.011,728.037,87.448,471,1031,8.019,76197060.000
328,0.011,790.281,150.759,471,1346,8.705,82711594.000
329,0.011,669.149,81.226,429,1060,7.371,70033835.000
330,0.011,664.313,50.799,399,931,7.317,69527685.000
331,0.011,668.590,68.794,391,970,7.364,69975321.000
332,0.011,577.207,74.593,360,1373,6.358,60411047.000
333,0.011,13327.022,935.331,11153,19373,146.795,1394819501.000
334,0.011,685.340,54.152,435,945,7.549,71728389.000
335,0.011,756.087,82.291,507,1093,8.328,79132845.000
336,0.011,888.630,160.375,534,1387,9.788,93004946.000
337,0.011,919.730,143.958,481,1390,10.131,96259843.000
338,0.011,1068.222,176.607,540,1938,11.766,111801160.000
339,0.011,899.671,144.792,545,1578,9.910,94160517.000
340,0.011,8332.303,607.888,6278,16103,91.779,872067147.000
341,0.011,690.871,102.196,444,1018,7.610,72307285.000
342,0.011,990.605,166.561,554,1566,10.911,103677729.000
343,0.011,1092.576,154.051,649,1613,12.035,114350124.000
344,0.011,873.209,128.253,558,1552,9.618,91390877.000
345,0.011,919.875,180.929,532,1447,10.132,96275029.000
346,0.011,867.449,105.619,584,1457,9.555,90788062.000
347,0.011,11153.197,792.512,2772,13840,122.850,1167304706.000
348,0.011,661.680,76.671,371,899,7.288,69252104.000
349,0.011,862.723,125.306,510,1508,9.503,90293444.000
350,0.011,1104.368,172.551,653,1878,12.164,115584299.000
351,0.011,623.145,85.007,378,908,6.864,65218947.000
352,0.011,615.175,77.386,361,973,6.776,64384863.000
353,0.011,761.974,80.413,484,1198,8.393,79748913.000
354,0.011,11996.809,639.003,9911,14826,132.143,1255598015.000
355,0.011,764.816,95.253,475,1089,8.424,80046432.000
356,0.011,823.695,158.485,494,1402,9.073,86208693.000
357,0.011,708.804,89.339,417,1181,7.807,74184166.000
358,0.011,698.839,56.965,399,1024,7.698,73141174.000
359,0.011,708.876,77.266,418,1019,7.808,74191665.000
360,0.011,601.727,79.933,394,1341,6.628,62977323.000
361,0.011,12548.252,875.511,10549,17970,138.217,1313312639.000
362,0.011,726.977,60.110,439,1026,8.008,76086136.000
363,0.011,794.463,91.132,527,1148,8.751,83149317.000
364,0.011,920.154,169.409,529,1442,10.135,96304222.000
365,0.011,968.113,147.281,504,1470,10.664,101323696.000
366,0.011,1115.909,184.396,627,2021,12.292,116792161.000
367,0.011,950.137,148.781,590,1563,10.466,99442286.000
368,0.011,7872.806,608.797,6034,15711,86.717,823975699.000
369,0.011,730.895,106.690,448,1071,8.051,76496193.000
370,0.011,1049.935,173.203,594,1637,11.565,109887224.000
371,0.011,1140.610,159.847,696,1682,12.564,119377355.000
372,0.011,915.378,134.336,569,1654,10.083,95804396.000
373,0.011,946.753,186.301,586,1513,10.428,99088106.000
374,0.011,910.607,113.100,609,1399,10.030,95305060.000
375,0.011,10492.732,748.601,2652,13128,115.575,1098179873.000
376,0.011,699.255,82.080,394,975,7.702,73184707.000
377,0.011,910.726,135.136,544,1469,10.031,95317480.000
378,0.011,1144.779,183.124,672,1915,12.610,119813672.000
379,0.011,652.163,87.596,400,957,7.183,68255992.000
380,0.011,647.881,82.011,392,1016,7.136,67807828.000
381,0.011,801.535,87.533,452,1216,8.829,83889502.000
382,0.011,11300.950,608.856,9317,14018,124.478,1182768760.000
383,0.011,802.076,102.549,506,1166,8.835,83946104.000
384,0.011,859.992,165.710,528,1463,9.473,90007594.000
385,0.011,751.828,97.107,469,1194,8.281,78687039.000
386,0.011,736.564,63.168,393,1111,8.113,77089563.000
387,0.011,752.708,85.428,442,1083,8.291,78779123.000
388,0.011,628.562,85.161,386,1356,6.923,65785959.000
389,0.011,11846.959,824.467,9980,16868,130.492,1239914583.000
390,0.011,772.698,66.384,488,1098,8.511,80871358.000
391,0.011,835.824,100.119,557,1255,9.206,87478174.000
392,0.011,952.986,177.180,559,1514,10.497,99740443.000
393,0.011,1014.789,149.993,572,1517,11.178,106208829.000
394,0.011,1162.455,191.493,685,2203,12.804,121663714.000
395,0.011,1000.770,151.669,612,1615,11.023,104741621.000
396,0.011,7456.586,612.275,5721,15371,82.133,780413697.000
397,0.011,770.271,110.464,485,1123,8.484,80617305.000
398,0.011,1108.321,179.814,593,1818,12.208,115998032.000
399,0.011,1189.120,165.174,718,1725,13.098,124454473.000
400,0.011,960.469,140.003,599,1656,10.579,100523648.000
401,0.011,977.290,191.633,596,1529,10.765,102284111.000
402,0.011,956.031,119.945,645,1443,10.530,100059169.000
403,0.011,9903.725,710.616,2494,12546,109.088,1036533771.000
404,0.011,738.085,87.058,447,1040,8.130,77248724.000
405,0.011,960.622,144.133,586,1514,10.581,100539665.000
406,0.011,1190.112,193.647,706,1935,13.109,124558348.000
407,0.011,683.281,89.527,436,991,7.526,71512899.000
408,0.011,682.495,86.350,392,1091,7.518,71430582.000
409,0.011,843.072,94.824,508,1238,9.286,88236810.000
410,0.011,10681.161,579.192,8865,13297,117.651,1117901022.000
411,0.011,840.525,109.464,493,1220,9.258,87970232.000
412,0.011,899.902,173.605,541,1534,9.912,94184678.000
413,0.011,797.834,105.435,503,1307,8.788,83502087.000
414,0.011,778.486,70.141,458,1246,8.575,81477143.000
415,0.011,798.836,93.970,482,1188,8.799,83606959.000
416,0.011,657.387,89.985,424,1386,7.241,68802760.000
417,0.011,11226.780,779.551,9426,16084,123.661,1175006017.000
418,0.011,821.372,72.087,498,1158,9.047,85965667.000
419,0.011,879.668,108.139,584,1326,9.689,92066889.000
420,0.011,990.243,185.521,583,1602,10.907,103639817.000
421,0.011,1060.894,151.400,566,1596,11.686,111034208.000
422,0.011,1205.149,196.886,682,2341,13.274,126132101.000
423,0.011,1051.855,153.731,667,1683,11.586,110088146.000
424,0.011,7083.169,615.041,5416,15082,78.020,741331500.000
425,0.011,808.087,113.551,503,1195,8.901,84575208.000
426,0.011,1166.983,185.714,679,1901,12.854,122137618.000
427,0.011,1235.238,168.920,791,1773,13.606,129281195.000
428,0.011,1004.736,144.994,648,1773,11.067,105156670.000
429,0.011,1008.307,196.817,621,1598,11.106,105530421.000
430,0.011,1000.905,126.040,676,1535,11.025,104755674.000
431,0.011,9377.223,676.631,2463,11805,103.288,981429523.000
432,0.011,776.260,91.197,485,1081,8.550,81244159.000
433,0.011,1010.519,152.561,632,1540,11.131,105761897.000
434,0.011,1233.259,202.678,726,2000,13.584,129074146.000
435,0.011,715.437,91.026,449,1045,7.880,74878340.000
436,0.011,717.543,89.918,398,1165,7.904,75098801.000
437,0.011,885.366,101.694,509,1368,9.752,92663266.000
438,0.011,10126.784,554.495,8336,12804,111.545,1059879337.000
439,0.011,878.487,115.572,563,1262,9.676,91943347.000
440,0.011,939.351,180.678,562,1557,10.347,98313445.000
441,0.011,843.410,113.889,532,1417,9.290,88272125.000
442,0.011,822.532,76.517,456,1311,9.060,86087035.000
443,0.011,845.596,101.314,501,1248,9.314,88500917.000
444,0.011,687.112,94.375,441,1381,7.568,71913786.000
445,0.011,10658.676,740.137,8905,15151,117.403,1115547703.000
446,0.011,871.064,77.090,584,1231,9.595,91166478.000
447,0.011,924.297,115.461,616,1415,10.181,96737846.000
448,0.011,1026.895,192.482,604,1695,11.311,107475865.000
449,0.011,1106.478,153.094,624,1635,12.188,115805092.000
450,0.011,1249.476,202.790,751,2362,13.763,130771359.000
451,0.011,1101.906,155.365,717,1711,12.137,115326633.000
452,0.011,6755.379,617.047,5103,14977,74.409,707024671.000
453,0.011,845.775,116.107,544,1300,9.316,88519641.000
454,0.011,1224.191,191.114,692,2072,13.484,128125066.000
455,0.011,1281.912,172.436,791,1854,14.120,134166203.000
456,0.011,1048.887,148.907,704,1735,11.553,109777519.000
457,0.011,1039.042,201.295,638,1633,11.445,108747198.000
458,0.011,1046.429,131.584,715,1577,11.526,109520264.000
459,0.011,8899.516,646.076,2334,11152,98.026,931432285.000
460,0.011,813.240,94.722,498,1100,8.958,85114485.000
461,0.011,1061.237,159.901,614,1611,11.689,111070142.000
462,0.011,1279.579,212.079,751,2011,14.094,133922044.000
