Combo,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25
20711,656.294,662.16,665.433,667.525,673.949,677.353,670.716,675.4,686.112,693.686,700.867,793.534,980.226,1231.243,1648.991,2192.03,2720.629,3192.589,3596.83,4038.109,4444.854,4843.316,5139.614,5320.364,5435.338
20911,587.344,591.156,591.992,591.835,593.63,595.58,587.94,587.174,595.654,601.61,613.253,683.473,808.192,974.788,1245.46,1603.355,1960.566,2271.158,2531.788,2835.485,3086.306,3328.386,3516.003,3637.804,3716.016
20409,613.017,610.362,613.845,614.835,616.235,617.494,614.456,615.037,626.931,643.499,740.234,1016.229,1405.373,2045.571,2917.729,3766.223,4474.82,5016.963,5393.127,5921.176,6417.337,6780.312,6998.87,7107.751,7160.535
40911,568.101,561.419,568.32,571.363,576.202,580.409,582.924,587.71,602.595,613.622,648.258,726.579,850.462,1077.999,1477.494,1939.494,2350.446,2687.625,2945.901,3251.441,3497.76,3721.971,3897.733,4002.667,4070.335
40611,589.147,583.734,583.006,585.936,591.386,596.443,603.967,612.832,626.568,648.188,747.83,962.503,1372.611,2176.031,3226.2,4151.406,4863.266,5363.135,5705.174,6243.919,6648.499,6898.28,7045.294,7115.618,7139.211
60911,565.565,557.529,556.198,555.953,558.022,560.343,559.239,564.816,574.418,585.399,663.362,892.873,1261.947,1962.461,2993.57,4003.646,4832.192,5472.199,5936.821,6554.522,7015.354,7294.162,7476.011,7548.721,7570.968
30609,574.76,566.662,564.058,561.223,560.148,558.512,555.471,555.061,563.912,576.308,641.787,1018.721,1597.808,2585.969,3931.59,5213.679,6197.345,6877.588,7441.574,8168.184,8577.237,8740.469,8823.4,8807.914,8757.446
30911,564.643,557.501,556.367,556.465,559.454,562.621,564.415,572.15,581.859,598.926,735.285,1030.047,1514.91,2360.528,3440.637,4395.15,5112.034,5627.497,6033.738,6517.256,6773.659,6856.285,6884.939,6885.813,6885.602
30511,558.481,552.112,550.64,550.446,553.363,557.475,560.492,570.341,587.634,660.994,891.077,1246.836,1554.368,1694.024,1785.343,1867.428,1930.053,1973.753,1991.786,2032.273,2061.118,2078.78,2093.807,2104.413,2111.012
50911,557.393,549.373,547.742,548.588,553.446,559.689,568.097,586.515,603.57,652.929,769.161,953.344,1147.62,1270.66,1321.266,1353.422,1380.066,1401.931,1406.769,1425.59,1439.465,1449.83,1460.177,1469.572,1477.18
40509,552.436,544.584,541.403,539.267,540.491,544.178,547.198,559.747,587.969,687.094,950.03,1269.466,1481.684,1576.434,1660.358,1734.855,1791.472,1831.852,1845.811,1882.164,1903.518,1917.015,1927.388,1932.07,1934.619
40911,592.185,582.151,579.666,578.672,581.446,584.896,588.293,601.835,617.273,652.346,742.5,885.332,1122.24,1568.073,2222.435,2855.131,3366.745,3746.836,3992.021,4273.233,4449.687,4536.997,4575.406,4578.49,4568.845
40711,598.461,581.95,576.703,574.124,575.879,579.14,580.753,588.936,602.908,627.621,732.995,909.732,1198.92,1760.488,2531.628,3274.061,3887.133,4331.581,4616.339,5025.28,5296.364,5453.91,5547.895,5586.723,5590.594
70911,593.454,581.416,577.665,575.314,575.394,576.03,574.273,580.016,587.466,598.343,698.983,931.182,1282.591,1938.935,2849.727,3752.249,4513.238,5109.601,5565.179,6210.426,6678.153,6939.806,7105.323,7180.487,7204.105
20709,635.282,619.361,612.595,606.167,602.114,597.571,591.71,588.422,594.996,605.991,665.732,999.181,1443.645,2139.389,3087.35,4029.224,4785.134,5301.332,5682.215,6242.324,6591.801,6730.141,6775.532,6786.96,6756.488
