LocationID,Mean,StdDev,Min,Max,IntDen,RawIntDen
317,19615.419,2837.248,12403,25212,11779251719,1115195429
318,17118.912,2768.103,10660,23393,10280074805,973261520
319,14931.259,2688.428,9636,20788,8966367797,848886892
320,15666.532,1652.277,11679,19989,9407906481,890689371
321,15462.102,3282.975,8209,23436,9285143899,879066878
322,15766.528,3170.458,9210,23470,9467954959,896374434
323,18083.068,1315.942,14520,21017,10859060070,1028076693
324,30812.224,3537.829,17946,36797,18503043078,1751767392
325,23968.088,2112.753,18369,27609,14393072062,1362657710
326,21601.546,2230.082,15647,26243,12971940204,1228112682
327,21228.988,2425.269,12875,25710,12748215796,1206931673
328,32888.07,4164.015,18257,39283,19749608541,1869785424
329,18334.324,1468.995,14547,21403,11009941559,1042361331
330,29511.396,2617.141,19561,33888,17721883166,1677811424
331,30603.929,3785.454,17220,37880,18377959672,1739925176
332,20181.453,2193.057,14373,24032,12119160658,1147376157
333,23600.125,3575.154,10572,29256,14172106886,1341737930
334,29364.937,3841.338,16198,36475,17633933084,1669484789
335,18533.086,2859.503,8272,22828,11129300291,1053661566
336,26593.026,2228.976,18474,30722,15969372833,1511893286
337,19728.676,2031.834,14790,23661,11847263667,1121634430
338,19284.456,1780.497,14538,22458,11580505332,1096379203
339,19098.639,2250.325,6470,22065,11468920198,1085814930
340,25588.674,3394.297,4391,29511,15366249679,1454792869
341,19382.85,554.497,16833,20939,11639591650,1101973174
342,24871.936,1828.628,13243,28317,14935841778,1414044192
343,21954.248,2711.257,4584,25447,13183741112,1248164839
344,13412.411,614.408,12005,16417,8054284652,762535825
345,16829.411,3293.803,3462,20837,10106226332,956802493
346,22982.377,3987.138,4270,27932,13801142622,1306617053
347,13513.665,1229.469,7969,17707,8115088391,768292392
348,14208.432,1149.026,8180,20543,8532302873,807791988
349,18814.979,3486.733,4990,22924,11298579373,1069687988
350,13093.089,2307.601,8709,17984,7862528337,744381381
351,12075.639,3330.173,3936,18009,7251539901,686536322
352,16454.566,4316.18,3223,24306,9881128346,935491441
